dataset,gate_value,ari,binary_ari,cluster_purity,tactic_coherence,attack_f1,nmi,ami,alt_label_col,alt_ari,alt_ami,homogeneity,completeness,v_measure,n_clusters,n_hgnn_clusters,n_uf_clusters,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,confidence_mode,skip_gate_sweep,latency_s,git_hash,bridge_edge_records,bridge_edge_pct,unique_bridge_flows,seed
CICIDS2017,0.6,0.287657680894458,,0.8649459783913566,0.3385700713388508,,0.3583734163570859,0.3472019660516207,,,,0.500760767900561,0.2790326858535385,0.3583734163570858,67,67,0,0.0,0.9310742616653442,1.0,,gaec,False,38.88267939997604,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,43
CICIDS2017,0.65,0.3618163526913505,,0.9146658663465386,0.0007723889700324,,0.4402755555105047,0.4318949682359406,,,,0.7419093193645653,0.3130149037202915,0.4402755555105047,67,67,0,0.0,0.9434353709220886,1.0,,gaec,False,39.45740579999983,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,43
CICIDS2017,0.7,0.2439880122514846,,0.940876350540216,0.240390233426186,,0.4510418269999464,0.4431072570780288,,,,0.8115205673838997,0.3123122317008822,0.4510418269999465,69,69,0,0.0,0.9511896371841432,1.0,,gaec,False,39.610386300017126,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,43
CICIDS2017,0.75,0.3570906016464912,,0.9044617847138856,0.3939887924140153,,0.4196483256310178,0.4097124006501999,,,,0.6331703120575661,0.3138198632135212,0.4196483256310178,70,70,0,0.0,0.9413275122642516,1.0,,gaec,False,38.89118289999897,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,43
CICIDS2017,0.8,0.2493298995920351,,0.8615446178471389,0.4933957306951466,,0.336228396739637,0.3248248860348829,,,,0.4614572469485193,0.2644600426993943,0.336228396739637,65,65,0,0.0,0.9313508868217468,1.0,,gaec,False,39.49340510001639,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,43
CICIDS2017,0.9,0.4838372555720892,,0.9381752701080432,0.0845862285645206,,0.5079041616017101,0.5008740335061317,,,,0.7885831664850631,0.374580418864193,0.5079041616017103,59,59,0,0.0,0.9522499442100524,1.0,,gaec,False,39.12344389996724,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,43
UNSW-NB15,0.4,0.4396632977880387,,0.7825,-0.1461835765498072,,0.6012744264959249,0.5980909003516819,attack_cat,0.4413980535453293,0.5999887290498149,0.6371981035089431,0.5691851539175244,0.6012744264959249,8,0,0,0.0,1.0,1.0,,gaec,False,28.389253499975894,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,44
UNSW-NB15,0.5,0.4396632977880387,,0.7825,-0.1461835765498072,,0.6012744264959249,0.5980909003516819,attack_cat,0.4413980535453293,0.5999887290498149,0.6371981035089431,0.5691851539175244,0.6012744264959249,8,0,0,0.0,1.0,1.0,,gaec,False,6.726801500015426,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,44
UNSW-NB15,0.55,0.4396632977880387,,0.7825,-0.1461835765498072,,0.6012744264959249,0.5980909003516819,attack_cat,0.4413980535453293,0.5999887290498149,0.6371981035089431,0.5691851539175244,0.6012744264959249,8,0,0,0.0,1.0,1.0,,gaec,False,6.732654899999034,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,44
UNSW-NB15,0.6,0.4396632977880387,,0.7825,-0.1461835765498072,,0.6012744264959249,0.5980909003516819,attack_cat,0.4413980535453293,0.5999887290498149,0.6371981035089431,0.5691851539175244,0.6012744264959249,8,0,0,0.0,1.0,1.0,,gaec,False,7.157512899953872,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,44
